page,method,threshold,k,rel_mse
1,method_2,0.89,36,0.07168849557638168
1,method_2,0.9,39,0.0614074282348156
1,method_2,0.91,41,0.05283847451210022
1,method_2,0.9199999999999999,44,0.04408285766839981
1,method_2,0.9299999999999999,47,0.040389079600572586
1,method_2,0.94,50,0.035754717886447906
1,method_2,0.95,55,0.031908560544252396
1,method_2,0.96,60,0.02642849273979664
1,method_2,0.97,65,0.017978811636567116
1,method_2,0.98,73,0.01183044258505106
1,method_2,0.99,85,0.005589974112808704
1,method_3,0.5,2,0.36252111196517944
1,method_3,0.51,2,0.36252111196517944
1,method_3,0.52,2,0.36252111196517944
1,method_3,0.53,3,0.2798931300640106
1,method_3,0.54,3,0.2798931300640106
1,method_3,0.55,3,0.2798931300640106
1,method_3,0.56,3,0.2798931300640106
1,method_3,0.5700000000000001,3,0.2798931300640106
1,method_3,0.58,4,0.22861424088478088
1,method_3,0.59,4,0.22861424088478088
1,method_3,0.6,4,0.22861424088478088
1,method_3,0.61,4,0.22861424088478088
1,method_3,0.62,5,0.22177542746067047
1,method_3,0.63,5,0.22177542746067047
1,method_3,0.64,6,0.2056516706943512
1,method_3,0.65,6,0.2056516706943512
1,method_3,0.66,6,0.2056516706943512
1,method_3,0.67,7,0.19539353251457214
1,method_3,0.6799999999999999,7,0.19539353251457214
1,method_3,0.69,8,0.18386679887771606
1,method_3,0.7,8,0.18386679887771606
1,method_3,0.71,9,0.18284304440021515
1,method_3,0.72,10,0.19368501007556915
1,method_3,0.73,10,0.19368501007556915
1,method_3,0.74,11,0.19165579974651337
1,method_3,0.75,12,0.1921752542257309
1,method_3,0.76,12,0.1921752542257309
1,method_3,0.77,13,0.18901076912879944
1,method_3,0.78,14,0.18143682181835175
1,method_3,0.79,15,0.18419653177261353
1,method_3,0.8,16,0.14416258037090302
1,method_3,0.81,17,0.13879886269569397
1,method_3,0.8200000000000001,18,0.13273662328720093
1,method_3,0.8300000000000001,19,0.12814761698246002
1,method_3,0.8400000000000001,20,0.12451576441526413
1,method_3,0.8500000000000001,22,0.11749377101659775
1,method_3,0.86,23,0.11166516691446304
1,method_3,0.87,25,0.10817711800336838
1,method_3,0.88,26,0.11047692596912384
1,method_3,0.89,28,0.10462548583745956
1,method_3,0.9,30,0.08276916295289993
1,method_3,0.91,33,0.0825762078166008
1,method_3,0.9199999999999999,35,0.07203727215528488
1,method_3,0.9299999999999999,38,0.06215353682637215
1,method_3,0.94,41,0.05479798838496208
1,method_3,0.95,45,0.05037714168429375
1,method_3,0.96,50,0.04508468508720398
1,method_3,0.97,56,0.041101887822151184
1,method_3,0.98,65,0.030615996569395065
1,method_3,0.99,78,0.023399008437991142
1,method_4,0.5,6,0.20510849356651306
1,method_4,0.51,6,0.20510849356651306
1,method_4,0.52,7,0.1907675415277481
1,method_4,0.53,7,0.1907675415277481
1,method_4,0.54,7,0.1907675415277481
1,method_4,0.55,7,0.1907675415277481
1,method_4,0.56,8,0.161675363779068
1,method_4,0.5700000000000001,8,0.161675363779068
1,method_4,0.58,9,0.14556367695331573
1,method_4,0.59,9,0.14556367695331573
1,method_4,0.6,9,0.14556367695331573
1,method_4,0.61,10,0.13636548817157745
1,method_4,0.62,10,0.13636548817157745
1,method_4,0.63,11,0.12006288766860962
1,method_4,0.64,11,0.12006288766860962
1,method_4,0.65,12,0.11514236032962799
1,method_4,0.66,12,0.11514236032962799
1,method_4,0.67,13,0.11285196989774704
1,method_4,0.6799999999999999,13,0.11285196989774704
1,method_4,0.69,14,0.10716724395751953
1,method_4,0.7,15,0.10417862981557846
1,method_4,0.71,15,0.10417862981557846
1,method_4,0.72,16,0.09903212636709213
1,method_4,0.73,17,0.09570454061031342
1,method_4,0.74,17,0.09570454061031342
1,method_4,0.75,18,0.08964799344539642
1,method_4,0.76,19,0.08203680068254471
1,method_4,0.77,20,0.07901594787836075
1,method_4,0.78,21,0.07617393136024475
1,method_4,0.79,22,0.07049912959337234
1,method_4,0.8,23,0.06633714586496353
1,method_4,0.81,24,0.06519615650177002
1,method_4,0.8200000000000001,25,0.06335656344890594
1,method_4,0.8300000000000001,26,0.06087484210729599
1,method_4,0.8400000000000001,28,0.056278523057699203
1,method_4,0.8500000000000001,29,0.05315110832452774
1,method_4,0.86,31,0.04786853864789009
1,method_4,0.87,33,0.045002590864896774
1,method_4,0.88,34,0.043729666620492935
1,method_4,0.89,36,0.037770044058561325
1,method_4,0.9,39,0.032046254724264145
1,method_4,0.91,41,0.027849994599819183
1,method_4,0.9199999999999999,44,0.0214507095515728
1,method_4,0.9299999999999999,47,0.01828598976135254
1,method_4,0.94,50,0.01489404495805502
1,method_4,0.95,55,0.01196853443980217
1,method_4,0.96,60,0.009567259810864925
1,method_4,0.97,65,0.006810994818806648
1,method_4,0.98,73,0.004336731508374214
1,method_4,0.99,85,0.0020046173594892025
2,method_1,0.5,2,0.23294304311275482
2,method_1,0.51,2,0.23294304311275482
2,method_1,0.52,3,0.19958710670471191
2,method_1,0.53,3,0.19958710670471191
2,method_1,0.54,3,0.19958710670471191
2,method_1,0.55,3,0.19958710670471191
2,method_1,0.56,4,0.19432921707630157
2,method_1,0.5700000000000001,4,0.19432921707630157
2,method_1,0.58,4,0.19432921707630157
2,method_1,0.59,5,0.18096677958965302
