page,method,k,rmse,cos_sim
1,method_2,110,0.0017704636842776063,0.9998704195022583
1,method_2,113,0.0013915867298835269,0.9999200105667114
1,method_2,116,0.001102194573498438,0.9999497532844543
1,method_2,119,0.000747686670118654,0.9999772310256958
1,method_2,122,0.00048470240593215854,0.9999902844429016
1,method_2,125,0.0002989566252723801,0.9999962449073792
1,method_2,128,1.7874536346791186e-06,0.9999998807907104
1,method_2,131,1.7874536346791186e-06,0.9999998807907104
1,method_2,134,1.7874536346791186e-06,0.9999998807907104
1,method_2,137,1.7874536346791186e-06,0.9999998807907104
1,method_2,140,1.7874536346791186e-06,0.9999998807907104
1,method_2,143,1.7874536346791186e-06,0.9999998807907104
1,method_2,146,1.7874536346791186e-06,0.9999998807907104
1,method_2,150,1.7874536346791186e-06,0.9999998807907104
1,method_3,1,0.07510952886677158,0.7327558994293213
1,method_3,4,0.049760633039350105,0.8918341398239136
1,method_3,7,0.04427003888978778,0.9154579639434814
1,method_3,10,0.04364710132003925,0.9180716276168823
1,method_3,13,0.0412687145211915,0.9280909299850464
1,method_3,16,0.03829071733124564,0.9387433528900146
1,method_3,19,0.03524288291779904,0.948201060295105
1,method_3,22,0.034313720775538264,0.9506996870040894
1,method_3,25,0.03549875536792737,0.9476169347763062
1,method_3,28,0.03345940362699806,0.9539598226547241
1,method_3,31,0.02881947711876261,0.9653480648994446
1,method_3,34,0.02735630134764154,0.9686377644538879
1,method_3,37,0.026445749695134926,0.9707119464874268
1,method_3,40,0.025070824269729414,0.9736782908439636
1,method_3,43,0.02286526104348839,0.97818922996521
1,method_3,46,0.021285131566202597,0.9811609983444214
